id,trigger,object,subject,time,location
8072,对话,文章指出，意甲联盟和意大利足协,文章指出，意甲联盟,,
8077,申请,国足集训到3月25日才结束的，但眼见国外新冠肺炎疫情迅速蔓延，国足向中国足协,国足集训,,
8078,发布,星岛环球网消息：中新网3月22日电中超山东鲁能俱乐部,星岛环球网消息：中新网3月22日电中超山东鲁能俱乐部,22日,
8079,乘坐,山东鲁能官网声明截图据此前济南市卫生健康委发布的通报介绍，一位32岁的比利时男性,山东鲁能官网声明,3月19日,山东鲁能官网声明截图
8079,发布,山东鲁能官网声明截图据此前济南市卫生健康委,山东鲁能官网声明截图据此前济南市卫生健康委,山东鲁能官网声明截图,
8079,到达,山东鲁能,山东鲁能官网声明,3月19日,
8081,执行,比如曼联,比如曼联,2014年,
8082,召开,英超,报道截图英超于当地时间本周四召开了股东大会,本周四,
8084,接受,卡拉巴,0年2月2日，卡拉巴,2020年2月2日,2020年2月2日，卡拉巴
8085,建立,”卡拉巴,”卡拉巴说，他介绍了当时目睹的武汉,,
8087,加盟,”费莱尼,费莱尼曾在2013-2019年效力于曼联，2019年他离开曼联转会加盟山东鲁能,2013-2019年,
8087,离开,”费莱尼,”费莱尼,2019年,
8090,拒绝,巴萨男足球员们,《马卡报》指出，巴萨男足球员们拒绝这份降薪提议,,
8093,召开,文中称，法国职业足球联盟董事会,文中称，法国职业足球联盟董事会,3月23日,
8094,发布,星岛环球网消息：人民网报道，河南建业足球俱乐部,星岛环球网消息：人民网报道，河南建业足球俱乐部,,
8094,选择,星岛环球网消息：人民网报道，河南建业足球俱乐部昨日发布官方公告，球员冯卓毅,星岛环球网消息：,,
8094,加盟,星岛环球网消息：人民网报道，河南建业足球俱乐部昨日发布官方公告，球员冯卓毅,星岛环球网消息：人民网报道，河南建业足球俱乐部,,
8095,发布,武磊,武磊方面发布声明辟谣,,
8096,更新,但随后武磊团队发布声明进行辟谣，武磊,但随后武磊团队,,
8096,发布,武磊团队,但随后武磊团队发布声明,,
8097,发布,武磊,缺阵新冠肺炎,,
8097,通过,武磊,缺阵新冠肺炎后，武磊,,
8098,介绍,中国球员武磊,在确诊感染新冠肺炎后，中国球员武磊,,
8100,搭建,上海足协,与此同时，上海足协,,
8101,采取,德国足协,由于有长期赞助合同，德国足协并没有破产的风险，而且德国足协,,
8103,发布,”对此，中国驻巴塞罗那总领馆,对此，中国驻巴塞罗那总领馆,,
8104,制定,据外媒报道，为了防止球员们宅在家“放飞自我”，西甲豪门皇家马德里俱乐部的体能教练,据外媒报道,,
8106,参加,所有的球员,所有的球员都参加了训练,,
8107,离开,伊达尔戈,伊达尔戈,,
8107,执教,伊达尔戈,法国国家队,1976年到1984年,
8107,击败,伊达尔戈,伊达尔戈,,
8109,成立,中国足协,疫情发生后，中国足协,,
8109,落实,中国足协,疫情发生,,
8110,公布,星岛环球网消息：中新网3月27日电北京时间27日晚，中国足协,消息：中新网3月27日电北京时间27日晚，中国足协公布了新一期女足集训名单,27日晚,
8112,发布,27日，恒大主帅卡纳瓦罗,7日，恒大主帅卡纳瓦罗,27日,
8112,宣布,27日，恒大主帅卡纳瓦罗,7日，恒大主帅卡纳瓦罗,,
8113,接受,卡纳瓦罗,在居家隔离期间，卡纳瓦罗,,
8114,介绍,卡纳瓦罗,作为2006年世界杯的冠军队长，卡纳瓦罗,,
8114,连线,卡纳瓦罗,作为2006年世界杯的冠军队长，卡纳瓦罗,,
8114,进行,作为2006年世界杯的冠军队长，卡纳瓦罗,作为2006年世界杯的冠军队长，卡纳瓦罗,,
8115,发现,一位球员,一位球员有天离开自己房间去另一个房间串门,,
8116,支持,瓦加斯,中国的防控措施,,
8117,发布,北京时间29日，意甲豪门尤文图斯俱乐部,北京时间29日，意甲豪门尤文图斯俱乐部,29日,
8117,达成,北京时间29日，意甲豪门尤文图斯俱乐部就发布公告称，经过协商，俱乐部,北京时间29日，意甲豪门尤文图斯俱乐部,,
8119,介绍,武磊,新闻多一点,3月21日,
8120,召开,国际足联,成立“抗疫”工作组,,
8121,提议,有消息称，国际足联“抗疫”工作组,消息称，国际足联“抗疫”工作组,,
8121,做出,国际足联“抗疫”工作组,有消息称,,
8122,发布,北京时间3月30日，巴萨球星梅西,北京时间3月30日，巴萨球星梅西,3月30日,
8123,降低,早前意甲班霸尤文图斯官宣俱乐部,早前意甲班霸尤文图斯,,
8124,减少,罗,罗马体育报》甚至透露C罗会直接减少400万欧元的工资,,
8128,出任,迪乌夫,2005年到2009年期间，迪乌夫,2005年到2009年,
8129,支付,南美洲足联,为了缓解俱乐部的财政危机，南美洲足联,,
8130,发表,中新网4月2日电当地时间4月1日，欧足联,中新网4月2日电,4月1日,
8131,关注,赛彦虹,2018年,,
8132,宣布,法甲保级球队亚眠,法甲保级球队亚眠,19日,
8132,开启,法甲保级球队亚眠,法甲保级球队亚眠在19日宣布全员降薪16%，开启足坛降薪序幕,19日,
8133,宣布,而后马竞和中国球员武磊所在的西班牙人队,而后马竞和中国球员,,
8135,发布,星岛环球网消息：中新网报道，北京时间1日晚，中国球员武磊,星岛环球网消息：中新网报道，北京时间1日晚，中国球员武磊,1日晚,
8138,制定,武磊表示，教练组,武磊表示，教练组,,
8139,接受,俱乐部CEO布雷克、一线队技术总监休斯以及助教廷德尔,俱乐部CEO布雷克、一线队技术总监休斯以及助教廷德尔,,
8140,宣布,而热刺、纽卡斯尔和诺维奇,而热刺、纽卡斯尔和诺维奇,,
8143,参与,我,由于在皇马学院,,
8146,设立,香港机场的转机服务,香港机场的转机服务,,
8148,接受,广州恒大外援塔利斯卡,据国内媒体报道，近日，广州恒大外援塔利斯卡,,
8150,宣布,比如意甲豪门尤文图斯与球员达成一致，降低3月至6月的薪水；西甲巴塞罗那俱乐部,比如意甲豪门尤文图斯,,
8151,召开,田岛幸三,田岛幸三已经于今天出院，他在网上召开了记者发布会,,
8152,暂停,由于新冠肺炎疫情影响，本赛季欧洲足坛的各大赛事,,,
8153,发布,来自C罗个人社交媒体日前，C罗,来自C罗个人社交媒体日前，C罗,,
8159,举办,资料图：沃克也是英格兰国脚中新社记者毛建军摄报道称，曼城边后卫沃克,资料图：沃克也是英格兰国脚,,资料图：沃克也是英格兰国脚
8161,离开,球队教练员、球员及工作人员,球队教练员、球员及工作人员,4月6日,
8162,离开,在领到隔离解除通知书后，国足全员,在领到隔离解除通知书,4月6日,
8165,接受,巴塞罗那,巴塞罗那,,
8165,同意,巴塞罗那,巴塞罗那一线球员,,
8165,放弃,巴塞罗那,巴塞罗那一线球员,,
8169,设立,回望中,回望中国足坛摸索职业联赛,,
8173,支付,他,为此他支付了160万美元的保证金,,
8174,到达,小罗,世界杯之后的一年，小罗,一年,
8175,发布,中新网客户端4月7日电北京时间7日，英超利物浦俱乐部CEO彼得-摩尔,中新网客户端4月7日电,7日,
8181,发布,而奥里耶,而奥里耶,,
8185,发布,世界卫生组织总干事,世界卫生组织总干事,,
8186,赴,中国同世卫组织一直保持着密切沟通和良好合作，世卫组织专家,中国同世卫组织,,
8187,参与,我国专家,我国专家,,
8187,介绍,我国专家,我国专家,,
8188,提出,该委员会,该委员会,,
8191,印发,中央纪委国家监委,中央纪委国家监委,,
8193,减少,2月11日，12个省,2月11日，12个省份,2月11日,
8193,增加,2月11日，12个省,2月11日，12个省份,2月11日,
8203,导致,在某些方面，这次疫情,在某些方面，这次疫情,2003年,
8209,举行,几人,几人做真做,几人做真做，,
8212,举行,深圳诗人吴再携新作《一个人的诗经》,书深圳晚,2019年7月6日下午,
8216,发表,目,目前，《深,,
8220,发表,目,目前，《深,,
8224,出任,吴,2016年1月，吴,2016年1月,
8228,增加,世卫组织,世卫组织每日疫情报告,,
8228,增加,世卫组织,世卫组织每日疫情报告,,
8229,接到,1998年1月6日，原丽水市公安局(县级市，现莲都区公安分局,98年1月6日，原丽水市公安局,1998年1月6日,
8230,启动,原丽水市公安局,案发后，原丽水市公安局,,
8230,成立,案发后，原丽水市公安局,案发后，原丽水市公安局,,
8233,达到,张广鹏,张广鹏介绍，从,,
8236,开通,广州市不少医院,广州市不少医院,,
8239,成为,朱傲冰、任超等多位志愿者,朱傲冰、任超等多位志愿者,,
8239,播报,朱傲冰、任超等多位志愿者,朱傲冰、任超等多位志愿者,,
8239,赢得,朱傲冰、任超等多位志愿者,朱傲冰、任超等多位志愿者,,
8242,发布,最高检联合公安部,最高检联合公安部,,
8243,乘,郭某鹏,经审理查明，2月29日，郭某鹏,2月29日,经审理查明，2月29日，郭某鹏从郑州
8243,到达,郭某鹏,经审理查明，2月29日，郭某鹏,2月29日,
8244,发布,河南省郑州市,河南省郑州市,3月6日,
8245,发现,郑州市公安局大学路分局民警,3月10日8时许,3月10日8时许,
8248,开展,市司法局,市司法局,,
8249,开展,全市各级司法行政机关,全市各级司法行政机关,,
8251,成立,新晃公安局,经蒋爱国安排，新晃公安局,,
8251,参与,新晃公安局,经蒋爱国安排，新晃公安局,,
8252,参与,怀化市公安局邓水生,怀化市公安局邓水生,,
8255,发布,而在此前的1月31日，知名做空机构浑水,而在此前的1月31日,1月31日,
8256,投入,浑水,据了解，当时浑水,,
8258,致电,红星资本局,针对以上管理公司,,
8259,发布,中新网成都4月3日电(记者刘忠俊)四川省应急管理厅,中新网成都4月3日电(记者刘忠俊)四川省应急管理厅,4月3日,
8260,发生,2020年4月1日20时23分，甘孜州石渠县,2020年4月1日20时23分,2020年4月1日20时23分,
8260,启动,2020年4月1日20时23分，甘孜州石渠县发生5.6级地震，四川省应急管理厅,2020,,
8263,致电,关于钟院士何时出诊以及如何安排，健康时报记者,关于钟院士何时出诊以及如何安排，健康时报记者,,
8265,出征,2003年SARS爆发，68岁的他奋战在一线，16年后，新冠肺炎爆发，84岁的他,200,,
8265,爆发,2003年SARS,2003年SARS,2003年SARS,
8266,执行,今天上午，遵照最高人民法院下达的执行死刑命令，北京市第三中级人民法院,今天上午，遵照最高人民法院下达的执行死刑命令,,
8267,发生,昆明市消防支队供图中新网昆明4月3日电(缪超,昆明市消防支队,中新网昆明4月3日电(缪超)记者3日,
8267,实施,昆明市消防支队供图中新网昆明4月3日电(缪超,昆明市消防支队,昆明市消防支队供图中新网昆明4月3日电,
8268,通报,北京市高级人民法院副院长蓝向东,今天下午，在北京市,,北京
8269,组织,莉莉,莉莉,3月21日,
8273,接受,阿慧,时隔6天后，阿慧,时隔6天后，阿慧接受第4次检测,
8274,接受,小苹,2月11日，小苹,2月11日,
8275,作出,民意街工委和纪工委,民意街工委和纪工委,,
8276,接到,△案件再审相关文书,△案件再审相关文书,2019年4月,
8276,举报,△案件再审相关文书“我,△案件再审相关文书,2010年,
8278,提出,2019年12月3日，东海县检察院,东海县检察院,2019年12月3日,
8278,建议,2019年12月3日，东海县检察院,2019年12月3日，东海县检察院,2019年12月3日,
8279,调查,所罗门群岛海事局,与此同时，所罗门群岛海事局正在对事故原因,,
8280,发布,原标题：杭州野生动物园,原标题：杭州野生动物园,,
8280,组织,原标题：杭州野生动物园,原标题：杭州野生动物园,,
8284,到达,他,他告诉《中国新闻周刊》，到达目的地,,
8285,减少,红河学院生命科学与技术学院副教授王剑告诉《中国新闻周刊》，绿孔雀,红河学院生命科学与技术学院副教授王剑告诉《中国新闻周刊》，绿孔雀,,
8286,发布,原云南省环保厅等部门,原云南省环保厅等部门,2017年5月22日,
8287,找到,顾伯健,鸣声,,
8288,发布,2018年6月29日，云南省政府,18年6月29日,2018年6月29日,
8289,发出,2017年7月21日，原环保部向新平公司,2017年7月21日,2017年7月21日,
8291,选择,楚雄中院立案受理的当月，他们,楚雄中院立案受理,,
8291,进入,楚雄中院立案受理的当月，他们,楚雄中院立案受理,,
8292,建立,楚雄州政府,楚雄州政府,2003年4月9日,
8293,承担,昆明设计院,该水电站建设项目环评工作,,
8295,发现,原告专家证人、中国科学院昆明植物研究所博士刘健,原告专家证人,,
8300,关注,整个春节，谢富杰,整个春节，谢富杰都密切关注相关的新闻动态,春节,
8302,发布,广西扶贫办,广西扶贫办,2018年,
8305,投入,贫困户,5000元,,
8305,发展,贫困户,5000元,,
8306,选择,古等村,古等村,,古等村
8307,告诉,”谢富杰,杰,,
8309,制定,农业农村部,不管是家禽还是家畜，农业农村部,,
8309,制定,农业农村部,不管是家禽还是家畜，农业农村部,,
8310,形成,自治区质量技术监督局,自治区质量技术监督局,,
8313,坠亡,原标题：南充,,4月5日下午,
8314,发布,南充市公安局顺庆区分局,4月5日晚，南充市公安局顺庆区分局,4月5日晚,
8315,发现,（原标题：这个留学生,（原标题：这个留学生,,
8320,发布,成都市公安局锦江公安分局,成都市公安局锦江公安分局,4月6日,
8321,恢复,黄山风景区,媒体报道称，黄山风景区2月21日,2月21日,
8322,开展,在此前提下，针对安徽省内市民，黄山市,在此前提,4月1日,
8324,派出,南方航空护林总站,此外，南方航空护林总站,,
8324,参与,此外，南方航空护林总站,此外，南方航空护林总站已派出了4架直升机参与扑救作业,,
8326,发布,中华遗嘱库,90后三年来立遗嘱,3月28日,
8326,公布,中华遗嘱库,90后三年来立遗嘱,3月28日,
8327,发布,中华遗嘱库,此次中华遗嘱库,,
8327,分析,中华遗嘱库,此次中华遗嘱库,,
8328,发布,武汉市新冠肺炎疫情防控指挥部,武汉市新冠肺炎疫情防控指挥部,,
8329,推出,从3月12日开始，央视财经新媒体,从3月12日开始，央视财经新媒体,从3月12日,
8330,分享,稍微大一些的目标是，想要做一个享誉全世界的新国货美妆品牌，我,稍微大一些,,
8331,发生,准格尔旗大路新区,准格尔旗大路新区,4月6日15时5分,
8332,启动,准格尔旗公安局,案发后，准格尔旗公安局,,
8333,发现,泰国警方,泰国警方,,
8334,发布,泰国公共卫生部,最新数据,3日,
8336,发布,武汉,2月24日15时07分,2月24日15时07分,
8337,发生,星岛环,星岛环球网消息：河南南一间酒店大厅,,
8337,抱走,星岛环,星岛环,,星岛环球网消息：河南南一间酒店大厅
8338,发现,黄女,黄女,,
8342,发生,据当地消防知情人士,据当地消防知情人士介绍，事发现场,,
8345,发布,（原标题,（原标题,（原标题：“禁野令,
8346,推出,2月16日，蛙类养殖专业委员会,16日，蛙类养殖专业委员会,2月16日,
8349,成立,在此基础上，授权中国野生动物保护协会养殖专业委员会,在此基础上，授权中国野生动物保护协会养殖专业委员会,,
8350,成立,”中国野生动物保护协会,中国野生动,,
8351,制定,委员会,此外，委员会,,
8352,举办,在赵文阁等三人的主导下，蛙类专业委员会,赵文阁等三人的主导下，蛙类专业委员会,,在赵文阁等三人的主导下，蛙类专业委员会
8352,评选,在赵文阁等三人的主导下，蛙类专业委员会,赵文阁等三人的主导下，蛙类专业委员会,,在赵文阁等三人的主导下，蛙类专业委员会
8352,授予,赵文阁等三人的主导下，蛙类专业委员会,赵文阁等三人的主导下，蛙类专业委员会,,在赵文阁等三人的主导下，蛙类专业委员会
8354,发布,黑龙江省政府办公厅,报道,,
8355,写了,中国工程院院士、东北林业大学野生动物资源学院名誉院长马建章,中国工程院院,,
8356,召开,马建章表示，2018年11月18日应部分东北林蛙养殖户请求，东北林业大学,马建章表示，2018年11月18日,2018年11月18日,
8357,成立,中国野生动物保护协会,从“学会”到“产业协会”201,2018年10月,
8359,推出,央视财经频道,22日，央视财经频道,3月22日,
8362,恢复,武汉市内117条公交线路,3月25日，武汉市内117条公交线路,3月25日,
8363,恢复,陈招的店铺,工人一点点减少，来自全国的医护人员相继撤离，越来越多的单位开始复工，陈招的店铺,,
8363,撤离,工人一点点减少，来自全国的医护人员相继,,,
8363,复工,工人一点点减少，来自全国的医护人员相继撤离，越来越多的单位开始,,,
8365,开展,酒泉、玉门两地公安交管部门,事故发生,,
8365,赶赴,酒泉、玉门两地公安交管部门,事故发生,,
8367,发射,NASA,70年，NASA,1970年,
8367,发现,NASA发射了阿波罗13号，宇航员海斯,0年，NASA,1970年,
8368,发生,另有研究显示，1995年3月至1998年6月期间，某空间站,另有研究显示，1995年3月至1998年6月期间，某空间站,1995年3月至1998年6月,
8368,患上,另有研究显示，1995年3月至1998年6月期间，某空间站,另有研究显示,1995年3月至1998年6月,
8371,发现,江苏省常熟市市场监管局,3月6日，江苏省常熟市市场监管局,3月6日,
8373,作出,天津市市场监管委,天津市市场监管委,,
8374,开展,泰州市市场监管局,泰州市市场监管局立即会同公安机关,,
8375,恢复,武汉,武汉终于恢复与其他城市的自由流动,,
8376,驶过,1,,3月23日早上7时许,
8377,恢复,3月21日，员工,3月21日，员工,3月21日,
8378,恢复,2对武汉来说，3月28日是个重要的日子，武汉,武汉来说，3月28日是个重要的日子，武汉,2对武汉来说，3月28日,
8379,补充,一名火车站工作人员,一名火车站工作人员,,
8379,喊了,一名火车站工作人员,一名火车站工作人员,,
8380,恢复,武汉的各大商场,营业,3月30日,
8384,建立,老师和家长,为了教学管理方便，老师和家长,,
8385,印发,”苗生明表示，2月10日，最高检会同最高法、公安部、司法部,”苗生明表示，2月10日,2月10日,
8386,发布,广西壮族自治区人民检察院,广西壮族自治区人民检察院,4月8日,
8387,发生,玉林市公安局玉州分局,玉林市公安局玉州分局,3月20日,
8388,恢复,武汉婚姻登记机构,武汉婚姻登记机构,,
8389,获取,吉林市公安局,吉林市公安局,,
8390,成立,吉林市警方向上级汇报，随后吉林省警方,由于案情重大，吉林市警方向上级汇报，随后吉林省警方,,
8391,逗留,办案民警在侦查中发现，吉林省榆树市涉案人员张某,办案民警在侦查中发现，吉林省榆树市涉案人员张某,,
8392,遭拒,”受访者供图一审法院：死者生前多次求医遭拒新京报此前报道，53岁男子俞伟国,”受访者,,
8392,突发,”受访者供图一审法院：死者生前多次求医遭拒新京报此前报道，53岁男子俞伟国,”受访者,,
8392,死亡,”受访者供图一审法院：死者生前多次求医遭拒新京报此前报道，53岁男子俞伟国,,,
8393,提出,”判决书显示，视频录像中，俞伟国,”判决书,,
8393,拒绝,”判决书显示，视频录像中，俞伟国,,,
8395,提出,”鄞州区检察院出具的《抗诉请求答复书》显示，俞伟国家属,”鄞州区检察院,,
8396,提交,”对于该结果，今日上午，俞伟国,今日上午，俞伟国的家属告诉新京报记者，“我们已依法向市检察院提交抗诉请求,,
8398,接受,该车驾驶人,该车,,该车驾驶人董某
8399,解除,武汉市,今日零时起，武汉市,今日零时起,
8400,恢复,在,在,3月24日,
8400,进行,在倒计时的日子里，武汉各项筹备工作也已准备就绪：3月24日，武汉市消防救援支队,在倒计时的日子里,3月24日,
8400,恢复,在,在,3月24日,
8400,筹备工作,武汉,,,
8401,建立,武汉,武汉,,
8402,恢复,武汉市内多家商场、购物中心,营业,,
8403,恢复,福建,在疫情逐渐获得有效控制下，福建加速复工复产，恢复正常生活秩序,,
8404,恢复,武夷山风景名胜区,武夷山风景名胜区,8日,
8405,组织,武夷山市文化体育和旅游局局长邓崇慧介绍说，开园前，武夷山市,武夷山市,,
8406,恢复,厦门航空有限公司披露，福州、厦门、泉州三地,厦门航空有限公司披露，福州、厦门、泉州三地,,
8406,披露,厦门航空有限公司,厦门航空有限公司,,
8407,分享,中国,中国及时主动同世卫组织,,
8408,举行,国民党,国民党包括党中央,国民党包括党中央及“立法院”党团，7日,
8410,发布,三大运营商,对标微信5G消息突破短信局限当日三大运营商,,
8414,开发,三星,三星则正基于运营商最新规范,,
8415,曝光,李女士,李女士在网上曝光此事,,
8415,告诉,李女士在网上曝光此事后，潘某,李女士在网上曝光此事,,
8416,拍摄,▲李女士在微博上报告潘某,▲李女士在微博上报告潘某让其拍摄儿童私密照,4月5日,
8418,添加,被曝要求家长拍摄宝宝光着屁股的照片李女士,被曝要求家长拍摄宝宝光着屁股的照片,,
8418,拍摄,被曝要求家长,被曝要求家长拍摄宝宝光着屁股的照片,,
8419,拍摄,李女士,当日11时20分许，李女士,当日11时20分许,
8422,导致,潘某,潘某,,
8422,要求,潘某,潘某,,
8422,曝光,潘某,有网友,潘某有恋,
8423,恢复,海底捞的工作人员对此回应称，目前海底捞,海底捞的工作人员,,
8424,推出,3月2日，山东济南,3月2日，山东济南,3月2日,
8424,宣布,3月2日，山东济南推出了2000万元文旅消费券；3月13日，浙江宁波,3月2日,3月2日,
8424,发放,3月2日，山东济南推出了2000万元文旅消费券；3月13日，浙江宁波,3月2日，山东济南,3月2日,
8424,公布,浙江宁波,3月2,3月2日,
8426,参与,台湾地区,台湾地区,,
8427,成为,而马英九,而马英九,而马英九在担任台湾地区领导人,
8432,成立,国民党主席连战,国民党主席连战私人掏腰包,,
8433,宣布,（中评,（中评,（记者黄筱筠）罢韩第二阶连署审查7日,
8434,主持,她,，前时代力量,,
8435,召开,民进党高雄市议会党团干事长陈致中,民进党高雄市议会党团干事长陈致中率多位绿营议员召开记者会,,
8436,启动,（中,（中评社高易伸摄）,,
8436,通过,（中评社高易伸摄）星岛环球网消息：中评社高雄4月8日电（记者高易伸）罢韩二阶段,,,
8437,召开,对此，民进党高雄市议会党团干事长陈致中率多位绿营议员,对此，民进党高雄市议会党团干事长陈致中率多位绿营议员召开记者会,,
8438,启动,韩国瑜,陈致中说，韩国瑜启动法律战,,
